instanceId;objectId;brandModelId;manufacturer;model;serialNumber;spec;yom;infleetStartDate;infleetEndDate;purpose;status;opco;ownerType;ownerSource;ownerId;objectUri;brandModelUri;modelVersionUri;ownerObjectId;customsDocumentNumber;borderLocationId;importDate;transportHeight;transportLength;transportWidth;engineType;registrationNumber;standardConfigurationId;modelGroupId;modelGroupName;depot;rasterLocation
"9543a1875ea147848e00ba5e5f8115be";"X12386";"5cc6c38852faff0001aa828b";MANITOU;"P4000 HORIZONTAL CRANE JIB 4T 653226";;CE;;"2020-10-05T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/9543a1875ea147848e00ba5e5f8115be";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6c38852faff0001aa828b";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6c3ad52faff0001273390";;;;;"0.487 m";"2.838 m";"0.83 m";;;;;;;
"5d14900d52faff0001fce8ce";"X11908";"5cc6bed452faff0001aa8287";MANITOU;"WINCH 5T";;CE;;"2019-07-01T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5d14900d52faff0001fce8ce";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bed452faff0001aa8287";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6beda52faff0001aa8288";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5ba4b274aab0e700093807d0";"X10609";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;;;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b274aab0e700093807d0";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5ba4b34cc7fc4100078a7319";"T16227";;"CAM ATTACHMENTS";"PRC32D";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b34cc7fc4100078a7319";;;;;;;;;;;;;;;;
"5dea54d5abc11d1ec5312bcf";"X12102";"5cc6c38852faff0001aa828b";MANITOU;"P4000 HORIZONTAL CRANE JIB 4T 653226";;CE;;"2019-12-09T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5dea54d5abc11d1ec5312bcf";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6c38852faff0001aa828b";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6c3ad52faff0001273390";;;;;"0.487 m";"2.838 m";"0.83 m";;;;;;;
"5de8fd0a30c1ae5816144166";"X12099";"5cc6c38852faff0001aa828b";MANITOU;"P4000 HORIZONTAL CRANE JIB 4T 653226";;CE;;"2019-12-09T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5de8fd0a30c1ae5816144166";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6c38852faff0001aa828b";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6c3ad52faff0001273390";;;;;"0.487 m";"2.838 m";"0.83 m";;;;;;;
"5de8fca630c1ae5816144165";"X12098";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;"2019-12-09T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5de8fca630c1ae5816144165";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5ba4b163aab0e7000937fc4f";"T12550";;"CAM ATTACHMENTS";"PRC32D";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b163aab0e7000937fc4f";;;;;;;;;;;;;;;;
"5ba4b163aab0e7000937fc4c";"T12549";;"CAM ATTACHMENTS";"PRC28D";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b163aab0e7000937fc4c";;;;;;;;;;;;;;;;
"5ba4b46ac7fc4100078a7b29";"T12377";;"CAM ATTACHMENTS";"PRC28D";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b46ac7fc4100078a7b29";;;;;;;;;;;;;;;;
